משפחה,תאור מחסן,מחסן,כמות,מק'ט
68.0,מחסן פגומים,06,5.0,68371506GSP
68.0,מחסן פגומים,06,1.0,68371508GSP
68.0,מחסן ראשי,Main,32.0,68371508GSP
68.0,מחסן ראשי,Main,0.0,68371515GSP
68.0,מחסן פגומים,06,28.0,68371517YAS
68.0,מחסן ראשי,Main,1.0,68371808GSP
68.0,מחסן פגומים,06,3.0,68371808GSP
68.0,מחסן פגומים,06,10.0,68371819YAS
68.0,מחסן ראשי,Main,43.0,68371819YAS
68.0,מחסן פגומים,06,1.0,68372404SISMAK
68.0,מחסן ראשי,Main,11.0,68372424GSP
68.0,מחסן ראשי,Main,4.0,68380606YAS
68.0,מחסן פגומים,06,1.0,68390300SISMAK
68.0,מחסן פגומים,06,3.0,68390302SISMAK
68.0,מחסן פגומים,06,8.0,68390302YAS
68.0,מחסן ראשי,Main,8.0,68390302YAS
68.0,מחסן ראשי,Main,3.0,68390304GSP
68.0,מחסן ראשי,Main,0.0,68390308GSP
68.0,מחסן פגומים,06,1.0,68390321YAS
68.0,מחסן ראשי,Main,119.0,68390321YAS
68.0,מחסן ראשי,Main,24.0,68390404SISMAK
68.0,מחסן ראשי,Main,1.0,68390406SISMAK
68.0,מחסן פגומים,06,2.0,68390423YAS
68.0,מחסן ראשי,Main,-1.0,68390508SISMAK
68.0,מחסן ראשי,Main,-1.0,68390512SISMAK
68.0,מחסן פגומים,06,13.0,68390512SISMAK
68.0,מחסן פגומים,06,1.0,68390535YAS
68.0,מחסן ראשי,Main,0.0,68390604GSP
68.0,מחסן ראשי,Main,4.0,68390608GSP
68.0,מחסן פגומים,06,1.0,68390610SISMAK
68.0,מחסן פגומים,06,4.0,68390614SISMAK
68.0,מחסן פגומים,06,5.0,68390616SISMAK
68.0,מחסן ראשי,Main,0.0,68390625YAS
68.0,מחסן פגומים,06,15.0,68390625YAS
68.0,מחסן פגומים,06,3.0,68390706GSP
68.0,מחסן פגומים,06,3.0,68390707YAS
68.0,מחסן פגומים,06,8.0,68390727YAS
68.0,מחסן פגומים,06,2.0,68391004GSP
68.0,מחסן ראשי,Main,17.0,68391010GSP
68.0,מחסן פגומים,06,4.0,68391029YAS
68.0,מחסן ראשי,Main,23.0,68391029YAS
68.0,מחסן פגומים,06,2.0,68391333YAS
68.0,מחסן פגומים,06,10.0,68391708YAS
68.0,מחסן פגומים,06,1.0,68392222KOR
68.0,מחסן ראשי,Main,0.0,68450108GSP
68.0,מחסן פגומים,06,22.0,68451100SISMAK
68.0,מחסן פגומים,06,4.0,68451102SISMAK
68.0,מחסן פגומים,06,1.0,68451104GSP
68.0,מחסן ראשי,Main,0.0,68451111GSP
68.0,מחסן ראשי,Main,0.0,68451135YAS
68.0,מחסן פגומים,06,43.0,68451135YAS
68.0,מחסן ראשי,Main,29.0,68451337YAS
68.0,מחסן פגומים,06,1.0,68490302YAS
68.0,מחסן פגומים,06,1.0,68490304GSP
68.0,מחסן פגומים,06,1.0,68550100YAS
68.0,מחסן פגומים,06,1.0,68550400SISMAK
68.0,מחסן פגומים,06,2.0,68550741YAS
68.0,מחסן פגומים,06,1.0,68551902SISMAK
68.0,מחסן פגומים,06,5.0,68551904SISMAK
68.0,מחסן פגומים,06,7.0,68551945YAS
68.0,מחסן ראשי,Main,195.0,68551945YAS
68.0,מחסן ראשי,Main,30.0,68551991GSP
68.0,מחסן ראשי,Main,4.0,68551991KOR
68.0,מחסן ראשי,Main,21.0,68580505GSP
68.0,מחסן ראשי,Main,0.0,68621155YAS
68.0,מחסן ראשי,Main,6.0,68640157YAS
68.0,מחסן ראשי,Main,27.0,68681313GSP
68.0,מחסן בירורים,05,30.0,68681361YAS
68.0,מחסן ראשי,Main,7.0,68760869YAS
68.0,מחסן ראשי,Main,3.0,68780775YAS
68.0,מחסן פגומים,06,3.0,68781400SISMAK
68.0,מחסן ראשי,Main,1.0,68781477YAS
68.0,מחסן ראשי,Main,19.0,68800200SISMAK
68.0,מחסן ראשי,Main,1.0,68800202SISMAK
68.0,מחסן ראשי,Main,1.0,68800208GSP
68.0,מחסן ראשי,Main,1.0,68800379YAS
68.0,מחסן ראשי,Main,12.0,68801004SISMAK
68.0,מחסן ראשי,Main,7.0,68801081YAS
68.0,מחסן ראשי,Main,10.0,68801585YAS
68.0,מחסן ראשי,Main,10.0,68801587YAS
68.0,מחסן ראשי,Main,7.0,68801804GSP
68.0,מחסן ראשי,Main,2.0,68801889YAS
68.0,מחסן פגומים,06,1.0,68801891YAS
68.0,מחסן פגומים,06,4.0,68821300SISMAK
68.0,מחסן פגומים,06,1.0,68900707GSP
68.0,מחסן ראשי,Main,8.0,68900707GSP
68.0,מחסן ראשי,Main,34.0,68900808GSP
68.0,מחסן פגומים,06,4.0,68901204SISMAK
68.0,מחסן בירורים,05,11.0,68901204SISMAK
68.0,מחסן פגומים,06,1.0,68901304GSP
68.0,מחסן ראשי,Main,0.0,68901306GSP
68.0,מחסן ראשי,Main,32.0,68901313GSP
