מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
35030343MATEC,ד.ב אח טרופר/רודיאו/אופל פרונטרה,FT058116,פעיל,30.000,0.000,0.000,0.000,12.000,0.000,18.00,0.00,.,,430552,0.00,6.00,0.00,יח',3.91,$
35030345LPR,ד.ב קד טרופר/אופל פרונטרה,05P658,פעיל,0.000,0.000,0.000,0.000,16.000,0.000,-16.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35030410LPR,ד.ב קד אסטרה 15 K+,05P2048,פעיל,7.000,0.000,0.000,0.000,9.000,0.000,-2.00,0.00,,,,0.00,0.00,0.00,יח',12.04,EUR
35040151LPR,ד.ב קד אומגה 97-03 קפיץ/סאאב 900 93-98,05P465,פעיל,9.000,0.000,0.000,0.000,7.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040206LPR,ד.ב קד אינסיגניה OPC,05P1468,פעיל,14.000,0.000,0.000,0.000,7.000,0.000,7.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35040214LPR,ד.ב אח אינסגיניה 17+,05P2141,פעיל,9.000,0.000,0.000,0.000,7.000,0.000,2.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35040215LPR,ד.ב קד אינסיגניה 17+,05P2107,פעיל,4.000,0.000,0.000,0.000,7.000,0.000,-3.00,0.00,,,,0.00,1.00,0.00,יח',0.00,EUR
35040255LPR,ד.ב אח אינסיגניה 2.0,05P1584,פעיל,7.000,0.000,0.000,0.000,7.000,0.000,0.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040268LPR,ד.ב קד אינסיגניה 2.0/אסטרה 11 GTC 1.6+/קמרו,05P1467,פעיל,0.000,0.000,0.000,0.000,14.000,0.000,-14.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35040303MATEC,ד.ב קד אסטרה 10+ דיזל/קרוז 1.6 טורבו 11+/מוקה/טראקס,FT140519,פעיל,0.000,0.000,0.000,0.000,77.000,0.000,-77.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35040310MATEC,ד.ב קד אסטרה 15 K+,FT227820,פעיל,62.000,0.000,0.000,0.000,10.000,0.000,52.00,2.00,,,,0.00,0.00,0.00,יח',5.80,$
35040311LPR,ד.ב אח אסטרה 15 K+/אקווינוקס 18+/קרוז 17+,05P2047,פעיל,6.000,0.000,0.000,0.000,8.000,0.000,-2.00,0.00,,,,0.00,2.00,0.00,יח',0.00,EUR
35040311MATEC,ד.ב אח אסטרה 15 K+/אקווינוקס 18+/קרוז 17+,FT243316,פעיל,54.000,0.000,0.000,0.000,8.000,0.000,46.00,0.00,,,,0.00,0.00,0.00,יח',4.00,$
35040312LPR,ד.ב אח אסטרה 15 K+/אקווינוקס 18+/קרוז 17+,05P2177,פעיל,5.000,0.000,0.000,0.000,8.000,0.000,-3.00,0.00,,,,0.00,0.00,1.00,יח',0.00,EUR
35040326MATEC,ד.ב אח אסטרה 02+/זפירה/פיקנטו 12+,FT102715,פעיל,4.000,0.000,0.000,0.000,5.000,0.000,-1.00,0.00,VV,,430552,0.00,0.00,0.00,יח',0.00,
35040332MATEC,ד.ב קד אסטרה 05-10,FT109320,פעיל,49.000,0.000,0.000,0.000,7.000,0.000,42.00,0.00,.,,430552,0.00,0.00,0.00,יח',0.00,
