מס' ספק,תאריך ההזמנה,כמות,יתרה לאספקה,הזמנת רכש,מק'ט,תאור מוצר,סכום (שח),סטטוס הזמנה,סטטוס שורת הזמנת רכש
255001,02/10/2024,100,100,PO24000024,35030239MATEC,ד.ב קד דימקס 08+,1697.85,אושרה,
255001,02/10/2024,100,100,PO24000024,35370407MATEC,ד.ב אח קורולה 13+/אוריס 08+,1328.09,אושרה,
255001,02/10/2024,100,100,PO24000024,35371507MATEC,ד.ב אח קורולה 08+/פריוס 09+,1207.36,אושרה,
255001,02/10/2024,100,100,PO24000024,35371833MATEC,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,1735.58,אושרה,
255001,02/10/2024,100,100,PO24000024,35390314MATEC,ד.ב קד 14 I10+/קונה,1535.61,אושרה,
255001,02/10/2024,100,100,PO24000024,35391726MATEC,ד.ב אח טוסון מ15+/אקסנט IX35/+07/ספורטאג 11+ עם חורים,1203.58,אושרה,
255001,02/10/2024,100,100,PO24000024,35392525MATEC,ד.ב קד סורנטו 15+/אלנטרה 16+/נירו/איוניק,2112.88,אושרה,
255001,02/10/2024,100,100,PO24000024,35451287MATEC,ד.ב אח מזדה 3 04+/מזדה 5/פוקוס 06+/וקטרה S40/508/+03,1339.41,אושרה,
255001,02/10/2024,100,100,PO24000024,35451516MATEC,ד.ב קד מזדה 6 13+,1678.98,אושרה,
255001,02/10/2024,100,100,PO24000024,35490305MATEC,ד.ב אח אאוטלנדר מ-17/אקליפס קרוס /אלטימה 21(עם בלם יד חשמלי,1135.67,אושרה,
255001,02/10/2024,100,100,PO24000024,35550809MATEC,ד.ב קד האנטר 07+/טריטון 15+,1731.80,אושרה,
255001,02/10/2024,100,100,PO24000024,35551926MATEC,ד.ב קד קשקאי 14+/קאדג'ר 16+/אקסטרייל 15+ 5 מושבים,1750.67,אושרה,
255001,02/10/2024,100,100,PO24000024,35640615MATEC,ד.ב קד ברלינגו 19+/פיקסו 3008/+14 17+,2901.43,אושרה,
255001,02/10/2024,100,100,PO24000024,35781397MATEC,ד.ב קד פאסאט 05+/גולף 05-12/אוקטביה 05-12/רומסטר 11+,2131.74,אושרה,
255001,02/10/2024,100,100,PO24000024,35901313MATEC,ד.ב אח פיקנטו 17+/סטוניק/ריו 17+/אלנטרה 16+,1226.22,אושרה,
255001,02/10/2024,100,100,PO24000024,35901327MATEC,ד.ב קד פיקנטו 17+,1516.74,אושרה,
255001,02/10/2024,100,100,PO24000024,35901359MATEC,ד.ב קד פיקנטו 11+,1463.92,אושרה,
255001,02/10/2024,100,100,PO24000024,35941961MATEC,ד.ב קד קנגו 08+,1637.48,אושרה,
255001,02/10/2024,200,200,PO24000024,35260537MATEC,ד.ב קד סיריון 08+/בלנו 16+/מזדה 2/פיאסטה 09+/סוופיט 1.2 11+,2920.30,אושרה,
255001,02/10/2024,200,200,PO24000024,35371061MATEC,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,3795.63,אושרה,
255001,02/10/2024,200,200,PO24000024,35371067MATEC,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,2656.19,אושרה,
255001,02/10/2024,200,200,PO24000024,35371515MATEC,ד.ב קד קורולה 19+,4467.23,אושרה,
255001,02/10/2024,200,200,PO24000024,35371598MATEC,ד.ב קד קורולה 13+,3674.90,אושרה,
255001,02/10/2024,200,200,PO24000024,35392125MATEC,ד.ב אח I35/I40/I25/ולוסטר/14 I10/+12 I30+,2392.08,אושרה,
255001,02/10/2024,200,200,PO24000024,35491563MATEC,ד.ב קד ספייס סטאר 13+/אטראג' 14+,2656.19,אושרה,
255001,02/10/2024,200,200,PO24000024,35580108MATEC,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/עם חריץ,3863.55,אושרה,
255001,02/10/2024,200,200,PO24000024,35580165MATEC,ד.ב קד אוקטביה עד 04/גולף 99+/בורה/A3/ג'טה,3448.52,אושרה,
